DN (red),DN (blue),DN (green),MC
90.51481481,78.16296296,59.79259259,2.400738689
86.87351598,75.99360731,60.93744292,2.287282708
85.62037037,74.97962963,59.55185185,2.287282708
81.64814815,71.19444444,57.24074074,3.199268739
82.82222222,68.90185185,50.40740741,4.67032967
73.23564065,61.36082474,48.14482081,4.67032967
73.8537037,58,40.90925926,5.909510619
64.13708873,54.03688933,41.60319043,5.909510619
68.76090828,56.87934105,41.26847729,5.909510619
62.10740741,50.33888889,37.83888889,3.896103896
65.47222222,53.86666667,40.59074074,7.791017415
64.32059728,53.05972771,40.45761968,7.791017415
64.24268644,54.00453234,43.5854965,7.791017415
51.87407407,42.08518519,31.98333333,8.348623853
58.02766622,47.05399375,34.902722,8.348623853
52.57592593,43.94814815,35.28333333,10.28466483
49.44814815,39.60740741,31.02777778,10.18518519
49.48064978,41.41614907,32.37697086,10.18518519
50.62037037,44.42592593,33.14444444,12.66294227
45.16481481,36.59444444,28.84074074,12.62672811
47.68703704,39.73148148,31.5462963,13.25966851
44.53255714,36.19448038,32.3622251,13.25966851
51.80555556,40.81666667,30.69444444,15.48387097
43.72962963,36.50185185,30.36111111,15.04178273
43.95185185,36.33888889,28.41666667,17.75700935
46.3962963,37.82222222,31.03703704,17.48381129
64.65740741,56.54814815,47.72592593,18.20702403
41.36330773,35.60460913,28.75056484,18.20702403
43.35185185,37.91851852,32.32592593,19.98149861
37.56111111,30.11481481,27.22407407,21.24883504
40.84074074,32.58518519,26.88518519,22.98311445
40.29804104,33.54291045,28.49860075,22.98311445
46.5037037,40.70740741,32.23703704,22.52085264
44.10376919,37.34667287,29.92973476,22.52085264
44.80185185,38.12592593,31.95,23.26227989
44.44259259,36.54259259,31.12592593,24.69823584
40.79749716,33.19397042,29.32992036,24.69823584
42.72109827,36.20183044,30.86753372,26.68539326
40.98835585,35.3856544,30.29436423,28.44990548
51.08965188,40.92989986,34.20028612,28.23858341
49.69808743,43.34016393,35.53324226,30.24344569
33.22563177,24.82129964,18.73736462,33.80547686
