DN (red),DN (blue),DN (green),MC
111.7351852,100.6833333,85.00740741,0
95.62592593,87.02962963,71.58518519,2.7
101.1685185,91.89074074,75.03148148,2.7
87.23148148,76.71111111,63.55740741,4.99
98.16481481,88.67222222,70.29814815,4.99
62.31666667,56.73703704,47.04074074,6.72
79.53518519,67.8537037,56.56851852,6.03
79.32777778,67.95,55.36296296,6.03
98.90740741,89.14074074,72.86296296,1.57
100.662963,92.11481481,75.07037037,1.57
84.84814815,71.95185185,58.52777778,8.09
84.63518519,70.68148148,56.82037037,8.09
83.3,70.21111111,55.48148148,8.09
74.5037037,62.59259259,53.10555556,9.02
71.27777778,59.67777778,50.30925926,9.02
73.52407407,61.65555556,51.19259259,9.02
68.11111111,57.74814815,47.95925926,9.54
70.56111111,61.05555556,50.27962963,9.54
62.52962963,53.29444444,43.84259259,9.54
63.3537037,56.89444444,45.60185185,10.43
68.48333333,57.4037037,46.0537037,10.43
75.45555556,64.36111111,50.68518519,10.43
68.82037037,62.23148148,49.53888889,10.43
92.32777778,80.52777778,63.90740741,3.92
83.47962963,73.79259259,58.68333333,3.92
89.4,78.38148148,62.62592593,3.92
72.01111111,65.16111111,51.68518519,11.35
69.69074074,63.4,49.5962963,11.35
70.21851852,63.38333333,50.06111111,11.35
65.1962963,58.82962963,47.11111111,11.35
74.08888889,65.43518519,52.16851852,12.29
68.31111111,60.29259259,51.09074074,12.29
73.36111111,63.50555556,52.25,12.29
72.25925926,62.99074074,51.96666667,12.29
71.53518519,58.61851852,47.46481481,12.98
75.86111111,63.27592593,52.78333333,12.98
73.12777778,60.34444444,49.90555556,12.98
72.94074074,60.32037037,50.84074074,12.98
88.34814815,73.69814815,60.48148148,13.72
73.36851852,61.35,49.97777778,13.72
74.21481481,62.18148148,50.27222222,13.72
82.81111111,70.40185185,55.65185185,13.24
81.62592593,68.27592593,54.02222222,13.24
80.97037037,68.45,55.12777778,13.24
72.32777778,60.5537037,48.54074074,13.24
73.10555556,61.26481481,50.15740741,15.24
70.06111111,58.12222222,47.19814815,15.24
71.40555556,60.00555556,48.74814815,15.24
68.3462963,56.89074074,45.95,15.24
65.85185185,58.97222222,46.92777778,16.21
64.7537037,56.91666667,45.4,16.21
80.52037037,68.4537037,55.86666667,16.61
82.54444444,70.13888889,56.65,16.61
78.55185185,65.90185185,54.30925926,16.61
71.66666667,59.92777778,47.7537037,17.1
69.1537037,58.03888889,45.72037037,17.1
67.37222222,54.84444444,44.39074074,17.1
75.91296296,65.99259259,51.99259259,16.97
75.47777778,65.65740741,51.34444444,16.97
76.18333333,66.70925926,53.59259259,16.97
71.91481481,65.98888889,50.55555556,18.67
66.82962963,61.85555556,48.0537037,18.67
66.00740741,61.26666667,47.79074074,18.67
58.43703704,53.55555556,45.62222222,18.67
55.8962963,50.33333333,44.9037037,19.43
68.10740741,61.09814815,50.67962963,19.43
70.21481481,62.97222222,52.17592593,19.43
70.89074074,63.49444444,52.31481481,19.43
69.01296296,60.31111111,49.57407407,19.41
70.37962963,60.75925926,50.42037037,19.41
74.15,63.56666667,53.62037037,19.41
73.94444444,62.11111111,50.82962963,20.1
71.00185185,59.43703704,47.03148148,20.1
67.85,57.13703704,46.72777778,20.1
67.87222222,58.72777778,47.20740741,20.1
68.87592593,62.52777778,51.31296296,20.05
52.32222222,47.98888889,41.94444444,20.05
65.8962963,60.09259259,50.73703704,20.05
75.96666667,67.19814815,53.26481481,20.05
68.71111111,60.55185185,50.8537037,20.05
70.67037037,63.15185185,50.35,21.71
69.4962963,63.26851852,49.76666667,21.71
65.42407407,60.25,47.45185185,21.71
64.66481481,58.11851852,46.12592593,21.71
74.38518519,69.44074074,54.59444444,22.58
68.82592593,61.07407407,52.41666667,22.58
72.21481481,63.73333333,52.74074074,22.52
73.38148148,65.02592593,53.99074074,22.52
71.15925926,62.90555556,52.09259259,22.52
66.66481481,59.28518519,48.52407407,22.52
73.90740741,63.21481481,51.19444444,23.39
65.93518519,57.40185185,48.72222222,23.39
72.72222222,61.33148148,49.60740741,23.75
73.75,66.43333333,53.43148148,23.75
