Filename,mc
1.jpg,0
2a.jpg,1.57
6a.jpg,2
6.jpg,2.34
3a.jpg,2.7
2.jpg,3.6
11.jpg,3.92
11b.jpg,4.28
15.jpg,4.99
3.jpg,5.33
7.jpg,6.03
7a.jpg,6.49
11a.jpg,6.72
16.jpg,8.09
16a.jpg,9.02
19.jpg,9.44
5.jpg,9.54
19b.jpg,10.02
21b.jpg,10.43
14a.jpg,11
21a.jpg,11.35
10b.jpg,11.55
8.jpg,11.79
28.jpg,12.1
24b.jpg,12.45
25.jpg,12.8
30.jpg,12.98
31a.jpg,13.1
8b.jpg,13.15
29a.jpg,13.2
15a.jpg,13.24
13b.jpg,13.4
14b.jpg,13.52
17.jpg,13.63
31.jpg,14
16c.jpg,14.48
13c.jpg,15.24
29.jpg,15.3
12.jpg,15.55
22.jpg,15.78
20.jpg,16.21
14.jpg,16.5
17b.jpg,16.61
8a.jpg,16.72
29b.jpg,16.89
25a.jpg,16.97
27.jpg,17.1
24a.jpg,17.65
23b.jpg,18.45
12a.jpg,18.77
27a.jpg,18.91
20a.jpg,19.29
24.jpg,19.36
26.jpg,19.41
28a.jpg,19.43
26d.jpg,19.63
10a.jpg,19.78
17c.jpg,19.99
13a.jpg,20.05
9.jpg,20.12
23a.jpg,20.15
25c.jpg,20.3
22a.jpg,20.72
29c.jpg,20.89
22b.jpg,21
30a.jpg,21.71
26b.jpg,21.95
18.jpg,22.3
27b.jpg,22.45
12c.jpg,22.52
18a.jpg,22.65
10.jpg,22.88
9b.jpg,22.91
4.jpg,23.39
23.jpg,23.75
